location,duration,entry_score,course_qualification,area_study,course_name,university_name,course_fee,course_link,intakes
Australia,1 Year(s),6.0 IELTS,Masters Degree (Coursework),accounting,Master of Business Administration (16 subjects) - Accounting and Finance,Charles Sturt University,"AUD 47,904",/global/Categories/Charles-Sturt-University/Master-of-Business-Administration-16-subjects-Accounting-and-Finance/p/PRG-AU-00369447,"march,july,november"
Australia,3 Trimester(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting - 070512G,Holmes Institute,"AUD 28,800",/global/Categories/Holmes-Institute/Master-of-Professional-Accounting-070512G/p/PRG-AU-00375558,"march,july,november"
Australia,3 Trimester(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Professional Accounting,Holmes Institute,"AUD 28,800",/global/Categories/Holmes-Institute/Master-of-Professional-Accounting/p/PRG-AU-00209936,"march,july,november"
New Zealand,1 Year(s),,Diploma level 5,accounting,New Zealand Diploma in Business (Project Management) (Level 5),Toi Ohomai Institute of Technology,"NZD 19,950",/global/Categories/Toi-Ohomai-Institute-of-Technology/New-Zealand-Diploma-in-Business-Project-Management-Level-5/p/PRG-NZ-00369904,"feb,july"
New Zealand,1 Year(s),,Diploma level 5,accounting,New Zealand Diploma in Business (Leadership and Management) (Level 5),Toi Ohomai Institute of Technology,"NZD 19,950",/global/Categories/Toi-Ohomai-Institute-of-Technology/New-Zealand-Diploma-in-Business-Leadership-and-Management-Level-5/p/PRG-NZ-00369902,"feb,july"
New Zealand,1 Year(s),6.0 IELTS,Masters Degree (Taught and Research),accounting,Master of Applied Practice (Professional Accounting),Unitec New Zealand Limited,"NZD 51,000",/global/Categories/Unitec-New-Zealand-Limited/Master-of-Applied-Practice-Professional-Accounting/p/PRG-NZ-00201996,"feb,july"
New Zealand,1 Year(s),6.5 IELTS,Masters Degree (Taught),accounting,Master of Business (Finance),Lincoln University,"NZD 43,900",/global/Categories/Lincoln-University/Master-of-Business-Finance/p/PRG-NZ-00118794,"feb,july,november"
New Zealand,1 Year(s),,Diploma level 5,accounting,New Zealand Diploma in Business (Human Resource Management) (Level 5),Toi Ohomai Institute of Technology,"NZD 19,950",/global/Categories/Toi-Ohomai-Institute-of-Technology/New-Zealand-Diploma-in-Business-Human-Resource-Management-Level-5/p/PRG-NZ-00369899,"feb,july"
Australia,1 Year(s),6.0 IELTS,Masters Degree (Coursework),accounting,Master of Business Administration (12 subjects) - Accounting and Finance,Charles Sturt University,"AUD 47,904",/global/Categories/Charles-Sturt-University/Master-of-Business-Administration-12-subjects-Accounting-and-Finance/p/PRG-AU-00369439,"march,may,july,august,november"
Australia,2 Year(s),6.5 IELTS,Masters Degree (Coursework),accounting,Master of Accounting and Finance,Flinders University,"AUD 75,000",/global/Categories/Flinders-University/Master-of-Accounting-and-Finance/p/PRG-AU-00210061,"march,july"
Australia,3 Year(s),6.5 IELTS,Bachelor Degree,accounting,Bachelor of Business - Accounting,Western Sydney University - Sydney City Campus,"AUD 86,766",/global/Categories/Western-Sydney-University---Sydney-City-Campus/Bachelor-of-Business-Accounting/p/PRG-AU-00365075,"march,july,november"
Australia,2 Year(s),6.5 IELTS,Bachelor Degree,accounting,Bachelor of Business (Accelerated) - Accounting,Western Sydney University - Sydney City Campus,"AUD 57,844",/global/Categories/Western-Sydney-University---Sydney-City-Campus/Bachelor-of-Business-Accelerated-Accounting/p/PRG-AU-00365082,"march,july,november"
New Zealand,1 Year(s),,Diploma level 5,accounting,New Zealand Diploma in Business (Accounting strand),Ara Institute of Canterbury Limited,"NZD 20,520",/global/Categories/Ara-Institute-of-Canterbury-Limited/New-Zealand-Diploma-in-Business-Accounting-strand/p/PRG-NZ-00099651,"feb,july"
New Zealand,1 Year(s),,(Graduate) Diploma level 7,accounting,Graduate Diploma in Accounting (Level 7),Nelson Marlborough Institute of Technology,"NZD 18,900",/global/Categories/All-Accounting/Accounting/Graduate-Diploma-in-Accounting-Level-7/p/PRG-NZ-00262447,"feb,july,november"
